,Season From 2008 to 2021,Winning Team,Losing Team,Winning Team Score,Losing Team Score,Overs played by winning Team,Overs played by losing Team,Wickets taken by losing Team,Wickets taken by Winning Team,Match Venue
0,3,Chennai Super Kings,Mumbai Indians,168,146,20.0,20.0,5,9,"[' DY Patil Stadium', ' Navi Mumbai ']"
1,3,Royal Challengers Bangalore,Deccan Chargers,86,82,13.5,18.3,1,2,"[' DY Patil Stadium', ' Navi Mumbai ']"
2,3,Chennai Super Kings,Deccan Chargers,142,104,20.0,19.2,7,2,"[' DY Patil Stadium', ' Navi Mumbai ']"
3,3,Mumbai Indians,Royal Challengers Bangalore,184,149,20.0,20.0,5,9,"[' DY Patil Stadium', ' Navi Mumbai ']"
4,3,Kolkata Knight Riders,Mumbai Indians,135,133,17.3,20.0,1,8,"[' Eden Gardens', ' Kolkata ']"
5,3,Deccan Chargers,Delhi Capitals,145,134,20.0,20.0,7,7,"[' Arun Jaitley Stadium', ' Delhi ']"
6,3,Chennai Super Kings,Punjab Kings,195,192,19.4,20.0,4,3,"[' HPCA Stadium', ' Dharamsala ']"
7,3,Kolkata Knight Riders,Rajasthan Royals,133,132,16.1,20.0,2,9,"[' Eden Gardens', ' Kolkata ']"
8,3,Mumbai Indians,Royal Challengers Bangalore,191,134,20.0,20.0,4,9,"[' M. Chinnaswamy Stadium', ' Bengaluru ']"
9,3,Deccan Chargers,Punjab Kings,178,174,19.1,20.0,5,3,"[' HPCA Stadium', ' Dharamsala ']"
10,3,Delhi Capitals,Chennai Super Kings,113,112,18.4,20.0,4,9,"[' M. A. Chidambaram Stadium', ' Chennai ']"
11,3,Royal Challengers Bangalore,Rajasthan Royals,132,130,15.4,20.0,5,6,"[' Sawai Mansingh Stadium', ' Jaipur ']"
12,3,Chennai Super Kings,Kolkata Knight Riders,143,139,13.3,20.0,1,8,"[' M. A. Chidambaram Stadium', ' Chennai ']"
13,3,Mumbai Indians,Delhi Capitals,183,144,20.0,20.0,4,7,"[' Brabourne Stadium', ' Mumbai ']"
14,3,Deccan Chargers,Royal Challengers Bangalore,151,138,20.0,19.4,6,2,"[' Vidarbha Cricket Association Stadium', ' Nagpur ']"
15,3,Mumbai Indians,Rajasthan Royals,174,137,20.0,20.0,5,8,"[' Sawai Mansingh Stadium', ' Jaipur ']"
16,3,Punjab Kings,Delhi Capitals,112,111,18.4,19.4,3,2,"[' Arun Jaitley Stadium', ' Delhi ']"
