,Season From 2008 to 2021,Winning Team,Losing Team,Winning Team Score,Losing Team Score,Overs played by winning Team,Overs played by losing Team,Wickets taken by losing Team,Wickets taken by Winning Team,Match Venue
0,14,Chennai Super Kings,Kolkata Knight Riders,192,165,20.0,20.0,3,9,"[' Dubai International Stadium', ' Dubai ']"
1,14,Kolkata Knight Riders,Delhi Capitals,136,135,19.5,20.0,7,5,"[' Sharjah Cricket Stadium', ' Sharjah ']"
2,14,Kolkata Knight Riders,Royal Challengers Bangalore,139,138,19.4,20.0,6,7,"[' Sharjah Cricket Stadium', ' Sharjah ']"
3,14,Chennai Super Kings,Delhi Capitals,173,172,19.4,20.0,6,5,"[' Dubai International Stadium', ' Dubai ']"
4,14,Mumbai Indians,Sunrisers Hyderabad,235,193,20.0,20.0,9,8,"[' Zayed Cricket Stadium', ' Abu Dhabi ']"
5,14,Royal Challengers Bangalore,Delhi Capitals,166,164,20.0,20.0,3,5,"[' Dubai International Stadium', ' Dubai ']"
6,14,Kolkata Knight Riders,Rajasthan Royals,171,85,20.0,16.1,4,2,"[' Sharjah Cricket Stadium', ' Sharjah ']"
7,14,Punjab Kings,Chennai Super Kings,139,134,13.0,20.0,4,6,"[' Dubai International Stadium', ' Dubai ']"
8,14,Sunrisers Hyderabad,Royal Challengers Bangalore,141,137,20.0,20.0,7,6,"[' Zayed Cricket Stadium', ' Abu Dhabi ']"
9,14,Mumbai Indians,Rajasthan Royals,94,90,8.2,20.0,2,9,"[' Sharjah Cricket Stadium', ' Sharjah ']"
10,14,Delhi Capitals,Chennai Super Kings,139,136,19.4,20.0,7,5,"[' Dubai International Stadium', ' Dubai ']"
11,14,Kolkata Knight Riders,Sunrisers Hyderabad,119,115,19.4,20.0,4,8,"[' Dubai International Stadium', ' Dubai ']"
12,14,Royal Challengers Bangalore,Punjab Kings,164,158,20.0,20.0,7,6,"[' Sharjah Cricket Stadium', ' Sharjah ']"
13,14,Rajasthan Royals,Chennai Super Kings,190,189,17.3,20.0,3,4,"[' Zayed Cricket Stadium', ' Abu Dhabi ']"
14,14,Delhi Capitals,Mumbai Indians,132,129,19.1,20.0,6,8,"[' Sharjah Cricket Stadium', ' Sharjah ']"
15,14,Punjab Kings,Kolkata Knight Riders,168,165,19.3,20.0,5,7,"[' Dubai International Stadium', ' Dubai ']"
16,14,Chennai Super Kings,Sunrisers Hyderabad,139,134,19.4,20.0,4,7,"[' Sharjah Cricket Stadium', ' Sharjah ']"
17,14,Royal Challengers Bangalore,Rajasthan Royals,153,149,17.1,20.0,3,9,"[' Dubai International Stadium', ' Dubai ']"
18,14,Mumbai Indians,Punjab Kings,137,135,19.0,20.0,4,6,"[' Zayed Cricket Stadium', ' Abu Dhabi ']"
19,14,Kolkata Knight Riders,Delhi Capitals,130,127,18.2,20.0,7,9,"[' Sharjah Cricket Stadium', ' Sharjah ']"
20,14,Sunrisers Hyderabad,Rajasthan Royals,167,164,18.3,20.0,3,5,"[' Dubai International Stadium', ' Dubai ']"
21,14,Royal Challengers Bangalore,Mumbai Indians,165,111,20.0,18.1,6,2,"[' Dubai International Stadium', ' Dubai ']"
22,14,Chennai Super Kings,Kolkata Knight Riders,172,171,20.0,20.0,8,6,"[' Zayed Cricket Stadium', ' Abu Dhabi ']"
23,14,Punjab Kings,Sunrisers Hyderabad,125,120,20.0,20.0,7,7,"[' Sharjah Cricket Stadium', ' Sharjah ']"
24,14,Delhi Capitals,Rajasthan Royals,154,121,20.0,20.0,6,6,"[' Zayed Cricket Stadium', ' Abu Dhabi ']"
25,14,Chennai Super Kings,Royal Challengers Bangalore,157,156,18.1,20.0,4,6,"[' Sharjah Cricket Stadium', ' Sharjah ']"
26,14,Kolkata Knight Riders,Mumbai Indians,159,155,15.1,20.0,3,6,"[' Zayed Cricket Stadium', ' Abu Dhabi ']"
27,14,Delhi Capitals,Sunrisers Hyderabad,139,134,17.5,20.0,2,9,"[' Dubai International Stadium', ' Dubai ']"
28,14,Rajasthan Royals,Punjab Kings,185,183,20.0,20.0,2,4,"[' Dubai International Stadium', ' Dubai ']"
29,14,Kolkata Knight Riders,Royal Challengers Bangalore,94,92,10.0,19.0,1,2,"[' Zayed Cricket Stadium', ' Abu Dhabi ']"
30,14,Chennai Super Kings,Mumbai Indians,156,136,20.0,20.0,6,8,"[' Dubai International Stadium', ' Dubai ']"
31,14,Delhi Capitals,Punjab Kings,167,166,17.4,20.0,3,6,"[' Narendra Modi Stadium', ' Ahmedabad ']"
32,14,Rajasthan Royals,Sunrisers Hyderabad,220,165,20.0,20.0,3,8,"[' Arun Jaitley Stadium', ' Delhi ']"
33,14,Mumbai Indians,Chennai Super Kings,219,218,20.0,20.0,6,4,"[' Arun Jaitley Stadium', ' Delhi ']"
34,14,Punjab Kings,Royal Challengers Bangalore,179,145,20.0,20.0,5,8,"[' Narendra Modi Stadium', ' Ahmedabad ']"
35,14,Delhi Capitals,Kolkata Knight Riders,156,154,16.3,20.0,3,6,"[' Narendra Modi Stadium', ' Ahmedabad ']"
36,14,Mumbai Indians,Rajasthan Royals,172,171,18.3,20.0,3,4,"[' Arun Jaitley Stadium', ' Delhi ']"
37,14,Chennai Super Kings,Sunrisers Hyderabad,173,171,18.3,20.0,3,3,"[' Arun Jaitley Stadium', ' Delhi ']"
38,14,Royal Challengers Bangalore,Delhi Capitals,171,170,20.0,20.0,5,4,"[' Narendra Modi Stadium', ' Ahmedabad ']"
39,14,Kolkata Knight Riders,Punjab Kings,126,123,16.4,20.0,5,9,"[' Narendra Modi Stadium', ' Ahmedabad ']"
40,14,Delhi Capitals,Sunrisers Hyderabad,159,159,20.0,20.0,4,7,"[' M. A. Chidambaram Stadium', ' Chennai ']"
41,14,Chennai Super Kings,Royal Challengers Bangalore,191,122,20.0,20.0,4,9,"[' Wankhede Stadium', ' Mumbai ']"
42,14,Rajasthan Royals,Kolkata Knight Riders,134,133,18.5,20.0,4,9,"[' Wankhede Stadium', ' Mumbai ']"
43,14,Punjab Kings,Mumbai Indians,132,131,17.4,20.0,1,6,"[' M. A. Chidambaram Stadium', ' Chennai ']"
44,14,Royal Challengers Bangalore,Rajasthan Royals,181,177,16.3,20.0,0,9,"[' Wankhede Stadium', ' Mumbai ']"
45,14,Chennai Super Kings,Kolkata Knight Riders,220,202,20.0,19.1,3,2,"[' Wankhede Stadium', ' Mumbai ']"
46,14,Sunrisers Hyderabad,Punjab Kings,121,120,18.4,19.4,1,2,"[' M. A. Chidambaram Stadium', ' Chennai ']"
47,14,Delhi Capitals,Mumbai Indians,138,137,19.1,20.0,4,9,"[' M. A. Chidambaram Stadium', ' Chennai ']"
48,14,Chennai Super Kings,Rajasthan Royals,188,143,20.0,20.0,9,9,"[' Wankhede Stadium', ' Mumbai ']"
49,14,Delhi Capitals,Punjab Kings,198,195,18.2,20.0,4,4,"[' Wankhede Stadium', ' Mumbai ']"
50,14,Royal Challengers Bangalore,Kolkata Knight Riders,204,166,20.0,20.0,4,8,"[' M. A. Chidambaram Stadium', ' Chennai ']"
51,14,Mumbai Indians,Sunrisers Hyderabad,150,137,20.0,19.4,5,2,"[' M. A. Chidambaram Stadium', ' Chennai ']"
52,14,Chennai Super Kings,Punjab Kings,107,106,15.4,20.0,4,8,"[' Wankhede Stadium', ' Mumbai ']"
